player_id,updatedAt,season,injury,fromDate,untilDate,days,gamesMissed,gamesMissedClubs
330560,2025-10-06T15:13:03.536936,23/24,muscular problems,2024-01-23,2024-10-02,19,4.0,1627
330560,2025-10-06T15:13:03.536936,21/22,Acromioclavicular joint dislocation,2022-05-02,2022-02-25,21,5.0,1103
330560,2025-10-06T15:13:03.536936,20/21,Ankle surgery,2020-12-07,2021-03-01,176,18.0,1103
330560,2025-10-06T15:13:03.536936,18/19,Adductor pain,2019-04-29,2019-05-29,31,1.0,1415
330560,2025-10-06T15:13:03.536936,18/19,Internal ligament strain,2019-01-27,2019-02-22,27,4.0,1415
667287,2025-10-06T15:13:33.813533,24/25,Muscle injury,2025-01-31,2025-07-02,8,1.0,1237
667287,2025-10-06T15:13:33.813533,24/25,Ill,2024-09-21,2024-09-23,3,1.0,1237
667287,2025-10-06T15:13:33.813533,23/24,Hamstring injury,2024-04-04,2024-04-18,15,3.0,164
505653,2025-10-06T15:14:04.086944,24/25,Adductor injury,2025-04-22,2025-09-22,154,,
505653,2025-10-06T15:14:04.086944,24/25,Knee injury,2025-08-02,2025-02-25,18,3.0,472
505653,2025-10-06T15:14:04.086944,21/22,Corona virus,2021-12-18,2021-12-31,14,1.0,543
459665,2025-10-06T15:15:16.262069,24/25,Thigh problems,2025-05-04,2025-09-04,5,,
459665,2025-10-06T15:15:16.262069,23/24,Muscle injury,2024-02-25,2024-03-31,36,4.0,408
459665,2025-10-06T15:15:16.262069,22/23,surgery,2023-03-18,2023-07-31,136,,
459665,2025-10-06T15:15:16.262069,22/23,Leg injury,2023-06-02,2023-07-31,176,,
395083,2025-10-06T15:15:46.593924,24/25,Cruciate ligament tear,2024-10-16,2025-01-06,229,30.0,3840
395083,2025-10-06T15:15:46.593924,23/24,Fitness,2023-12-21,2023-12-25,5,1.0,3840
395083,2025-10-06T15:15:46.593924,23/24,Calf injury,2023-11-26,2023-12-21,26,4.0,3840
395083,2025-10-06T15:15:46.593924,22/23,Hamstring injury,2022-10-31,2022-12-15,46,2.0,1421
395083,2025-10-06T15:15:46.593924,21/22,Hamstring injury,2022-05-15,2022-01-06,18,1.0,1421
395083,2025-10-06T15:15:46.593924,21/22,Broken foot,2022-01-02,2022-12-04,71,11.0,"1421, 19755"
395083,2025-10-06T15:15:46.593924,18/19,Ankle sprain,2019-10-04,2019-04-25,16,2.0,2921
818880,2025-10-06T15:16:47.220853,23/24,Finger injury,2023-11-24,2023-12-15,22,3.0,1025
288255,2025-10-06T15:17:17.607148,25/26,Achilles tendon rupture,2025-09-24,2026-01-04,190,24.0,12321
288255,2025-10-06T15:17:17.607148,23/24,Heel problems,2024-03-05,2024-03-07,62,3.0,"24, 985"
288255,2025-10-06T15:17:17.607148,22/23,Knee collateral ligament strain,2023-03-01,2023-06-30,179,38.0,985
288255,2025-10-06T15:17:17.607148,22/23,Shingles,2022-03-09,2022-10-24,52,10.0,985
288255,2025-10-06T15:17:17.607148,21/22,Thigh problems,2022-04-21,2022-05-16,26,5.0,29
288255,2025-10-06T15:17:17.607148,21/22,Thigh problems,2022-03-31,2022-11-04,12,3.0,29
288255,2025-10-06T15:17:17.607148,21/22,Groin injury,2021-07-06,2021-12-07,36,,
288255,2025-10-06T15:17:17.607148,20/21,Muscle injury,2021-01-03,2021-03-15,15,4.0,985
288255,2025-10-06T15:17:17.607148,19/20,Hamstring injury,2019-08-22,2019-09-23,33,7.0,"610, 3379"
288255,2025-10-06T15:17:17.607148,18/19,Groin injury,2018-05-31,2018-02-07,33,1.0,3379
429070,2025-10-06T15:18:18.301681,24/25,ankle sprain,2024-06-09,2024-09-24,19,3.0,336
429070,2025-10-06T15:18:18.301681,23/24,unknown injury,2024-04-04,2024-04-25,22,3.0,9644
429070,2025-10-06T15:18:18.301681,22/23,Muscle injury,2022-04-08,2022-08-17,14,4.0,9644
429070,2025-10-06T15:18:18.301681,21/22,unknown injury,2021-09-16,2021-09-27,12,3.0,9644
429070,2025-10-06T15:18:18.301681,20/21,Rest,2020-09-15,2020-09-21,7,2.0,282
429070,2025-10-06T15:18:18.301681,19/20,unknown injury,2019-11-23,2019-06-12,14,2.0,282
162434,2025-10-06T15:18:49.435586,25/26,Hip problems,2025-09-18,,19,3.0,86
162434,2025-10-06T15:18:49.435586,24/25,Knee problems,2025-01-03,2025-03-19,19,3.0,86
162434,2025-10-06T15:18:49.435586,24/25,Ill,2025-01-23,2025-01-27,5,1.0,86
162434,2025-10-06T15:18:49.435586,24/25,muscular problems,2024-09-29,2024-10-31,33,5.0,86
162434,2025-10-06T15:18:49.435586,23/24,Inner ligament injury,2024-10-03,2024-04-22,44,5.0,86
162434,2025-10-06T15:18:49.435586,23/24,Hip injury,2024-11-02,2024-06-03,25,3.0,86
162434,2025-10-06T15:18:49.435586,23/24,Hip problems,2024-10-02,2024-02-26,17,3.0,86
162434,2025-10-06T15:18:49.435586,23/24,Hip bruise,2023-12-18,2023-12-23,6,1.0,86
162434,2025-10-06T15:18:49.435586,23/24,Adductor pain,2023-09-26,2023-10-31,36,4.0,86
162434,2025-10-06T15:18:49.435586,22/23,Ill,2023-02-03,2023-08-03,7,1.0,86
162434,2025-10-06T15:18:49.435586,22/23,Ill,2023-02-03,2023-06-03,5,1.0,86
162434,2025-10-06T15:18:49.435586,22/23,Foot bruise,2022-10-17,2022-10-24,8,2.0,86
162434,2025-10-06T15:18:49.435586,22/23,cold,2022-07-28,2022-04-08,8,1.0,86
162434,2025-10-06T15:18:49.435586,21/22,Bone sprain,2022-04-04,2022-04-14,11,1.0,44
162434,2025-10-06T15:18:49.435586,21/22,Corona virus,2022-02-17,2022-02-28,12,2.0,44
933673,2025-10-06T15:19:19.723519,24/25,unknown injury,2025-07-04,2025-04-16,10,1.0,1105
933673,2025-10-06T15:19:19.723519,24/25,unknown injury,2025-02-24,2025-09-03,14,3.0,1105
928900,2025-10-06T15:22:20.383898,24/25,Knee surgery,2025-03-20,,201,17.0,416
928900,2025-10-06T15:22:20.383898,24/25,Partial patellar tendon tear,2024-07-09,,395,44.0,416
286047,2025-10-06T15:22:50.836078,24/25,unknown injury,2025-05-28,2025-01-07,35,,
286047,2025-10-06T15:22:50.836078,24/25,Ankle surgery,2024-11-25,2025-10-02,78,21.0,148
286047,2025-10-06T15:22:50.836078,23/24,Fever,2023-11-15,2023-11-19,5,1.0,3376
286047,2025-10-06T15:22:50.836078,22/23,Chest injury,2023-03-03,2023-04-29,58,9.0,"749, 3376"
286047,2025-10-06T15:22:50.836078,18/19,Finger injury,2018-07-23,2018-08-31,40,2.0,607
625064,2025-10-06T15:23:52.060389,21/22,Appendectomy,2021-10-09,2021-10-24,45,7.0,6688
128969,2025-10-06T15:24:22.359642,24/25,Hip injury,2025-07-02,2025-02-21,15,2.0,826
128969,2025-10-06T15:24:22.359642,24/25,unknown injury,2025-01-01,2025-11-01,11,1.0,12
128969,2025-10-06T15:24:22.359642,23/24,Broken cheekbone,2023-11-12,2024-01-01,22,3.0,1090
128969,2025-10-06T15:24:22.359642,22/23,Knee problems,2022-10-08,2022-08-15,6,1.0,190
128969,2025-10-06T15:24:22.359642,21/22,Knee injury,2021-07-22,2021-11-09,52,5.0,"681, 3433"
128969,2025-10-06T15:24:22.359642,20/21,Groin injury,2021-01-28,2021-05-02,9,2.0,11
128969,2025-10-06T15:24:22.359642,18/19,Ankle injury,2018-11-25,2018-11-30,6,,
128969,2025-10-06T15:24:22.359642,18/19,Knock,2018-07-10,2018-10-19,13,1.0,3433
128969,2025-10-06T15:24:22.359642,16/17,Hip problems,2016-12-13,2017-01-23,42,6.0,1049
128969,2025-10-06T15:24:22.359642,16/17,Cyst in the knee,2016-12-12,2017-02-01,22,1.0,1049
128969,2025-10-06T15:24:22.359642,16/17,ankle sprain,2016-09-13,2016-06-10,24,5.0,"1049, 3433"
128969,2025-10-06T15:24:22.359642,15/16,Meniscus injury,2015-08-31,2015-11-14,76,17.0,"1049, 3433"
984096,2025-10-06T15:24:52.758286,24/25,Injury to the ankle,2025-04-21,2025-04-25,5,1.0,537
984096,2025-10-06T15:24:52.758286,22/23,Cruciate ligament injury,2023-12-01,2023-07-10,269,,
162946,2025-10-06T15:25:23.075448,24/25,Pubalgia,2025-03-22,2025-01-09,164,12.0,1627
162946,2025-10-06T15:25:23.075448,24/25,Pubalgia,2024-05-12,2025-03-02,61,7.0,1627
162946,2025-10-06T15:25:23.075448,24/25,Muscle fatigue,2024-08-11,2024-11-18,11,2.0,1627
810649,2025-10-06T15:27:24.821565,25/26,Inner ligament injury,2025-09-17,,20,3.0,23826
810649,2025-10-06T15:27:24.821565,24/25,Ill,2025-08-05,2025-11-05,4,1.0,3
810649,2025-10-06T15:27:24.821565,24/25,Fitness,2025-04-22,2025-04-26,5,,
810649,2025-10-06T15:27:24.821565,24/25,Hamstring injury,2025-08-04,2025-04-21,14,2.0,3
810649,2025-10-06T15:27:24.821565,24/25,cold,2024-10-28,2024-05-11,9,2.0,3
810649,2025-10-06T15:27:24.821565,24/25,Fitness,2024-08-30,2024-09-20,22,4.0,"3, 5709"
810649,2025-10-06T15:27:24.821565,24/25,Internal ligament tear,2024-07-20,2024-08-29,41,4.0,3
810649,2025-10-06T15:27:24.821565,23/24,Ankle problems,2024-12-05,2024-10-06,30,1.0,3
810649,2025-10-06T15:27:24.821565,22/23,unknown injury,2023-02-17,2023-04-21,64,9.0,"1461, 5709"
810649,2025-10-06T15:27:24.821565,22/23,Bruised back,2022-08-08,2022-08-15,8,1.0,1461
810649,2025-10-06T15:27:24.821565,21/22,infection,2021-08-09,2021-09-13,6,1.0,1461
810649,2025-10-06T15:27:24.821565,21/22,strain,2021-05-08,2021-09-08,5,1.0,1461
602796,2025-10-06T15:27:55.195921,23/24,Muscle injury,2024-01-26,2024-01-02,7,1.0,127
602796,2025-10-06T15:27:55.195921,23/24,Inner knee ligament tear,2023-08-25,2023-05-10,42,5.0,127
84766,2025-10-06T15:28:26.282319,25/26,Bruised knee,2025-08-15,2025-08-09,25,4.0,1627
84766,2025-10-06T15:28:26.282319,24/25,Bruised ribs,2025-02-20,2025-09-03,18,3.0,1627
84766,2025-10-06T15:28:26.282319,24/25,Tendon rupture,2024-12-09,2025-03-01,114,16.0,1627
84766,2025-10-06T15:28:26.282319,21/22,unknown injury,2022-06-02,2022-10-02,5,1.0,380
84766,2025-10-06T15:28:26.282319,13/14,Peroneus tendon injury,2014-02-23,2014-05-23,90,13.0,"20519, 21100"
834752,2025-10-06T15:28:56.590617,23/24,Ankle injury,2024-01-29,2024-01-02,4,,
834752,2025-10-06T15:28:56.590617,23/24,Hip injury,2023-09-29,2023-05-10,7,1.0,621
863759,2025-10-06T15:29:27.047610,24/25,Achilles tendon rupture,2024-12-21,2025-06-30,192,22.0,"60, 9534"
863759,2025-10-06T15:29:27.047610,23/24,Muscle injury,2024-03-31,2024-05-20,51,7.0,245
94529,2025-10-06T15:29:57.491718,24/25,Calf injury,2024-06-10,2024-10-28,23,4.0,12
94529,2025-10-06T15:29:57.491718,22/23,Hamstring muscle injury,2023-03-05,2023-05-17,15,4.0,12
94529,2025-10-06T15:29:57.491718,22/23,muscular problems,2022-08-30,2022-09-26,28,8.0,"12, 3376"
94529,2025-10-06T15:29:57.491718,21/22,Calf problems,2022-12-02,2022-02-22,11,2.0,12
94529,2025-10-06T15:29:57.491718,21/22,Muscle fatigue,2022-08-01,2022-01-21,14,3.0,12
94529,2025-10-06T15:29:57.491718,21/22,Calf muscle tear,2021-01-12,2021-12-22,22,6.0,12
94529,2025-10-06T15:29:57.491718,20/21,unknown injury,2021-04-29,2021-10-05,12,4.0,12
94529,2025-10-06T15:29:57.491718,20/21,Hamstring muscle injury,2021-05-04,2021-04-23,19,5.0,12
94529,2025-10-06T15:29:57.491718,20/21,Fitness,2021-01-02,2021-08-02,8,1.0,12
94529,2025-10-06T15:29:57.491718,20/21,Corona virus,2021-01-22,2021-01-30,9,,
94529,2025-10-06T15:29:57.491718,18/19,Calf muscle tear,2019-03-24,2019-04-04,12,3.0,"12, 3376"
94529,2025-10-06T15:29:57.491718,18/19,flu,2019-11-01,2019-01-15,5,1.0,12
94529,2025-10-06T15:29:57.491718,18/19,Hamstring muscle injury,2018-11-27,2018-12-24,28,6.0,12
94529,2025-10-06T15:29:57.491718,17/18,Muscle fatigue,2018-01-21,2018-01-27,7,2.0,12
94529,2025-10-06T15:29:57.491718,17/18,Adductor pain,2017-11-10,2017-10-16,6,1.0,12
341278,2025-10-06T15:30:58.340606,24/25,Calf injury,2024-10-22,2024-11-18,28,6.0,12321
341278,2025-10-06T15:30:58.340606,21/22,Broken fibula,2022-06-19,2022-01-10,105,9.0,"12321, 33775"
341278,2025-10-06T15:30:58.340606,20/21,muscular problems,2021-04-16,2021-07-16,92,,
342046,2025-10-06T15:34:29.513042,25/26,muscular problems,2025-10-08,2025-08-18,9,1.0,1132
342046,2025-10-06T15:34:29.513042,24/25,Thigh problems,2025-04-25,2025-04-28,4,1.0,677
342046,2025-10-06T15:34:29.513042,24/25,Broken thumb,2025-04-03,2025-03-17,14,2.0,677
342046,2025-10-06T15:34:29.513042,24/25,Hamstring injury,2024-11-30,2025-01-18,50,10.0,677
342046,2025-10-06T15:34:29.513042,24/25,Thumb injury,2024-04-10,2024-04-11,32,4.0,677
342046,2025-10-06T15:34:29.513042,22/23,unknown injury,2022-07-13,2023-01-23,195,35.0,"985, 3854"
342046,2025-10-06T15:34:29.513042,21/22,Lumbago,2022-03-02,2022-03-14,40,8.0,6195
342046,2025-10-06T15:34:29.513042,20/21,Ankle injury,2020-06-18,2020-10-19,124,22.0,"985, 3854"
342046,2025-10-06T15:34:29.513042,19/20,Hamstring strain,2019-12-18,2020-05-03,79,20.0,985
342046,2025-10-06T15:34:29.513042,19/20,Hip injury,2019-10-19,2019-11-23,36,9.0,"985, 3854"
342046,2025-10-06T15:34:29.513042,18/19,Metatarsal fracture,2018-12-22,2019-03-29,98,18.0,"405, 3854"
487835,2025-10-06T15:36:00.731741,24/25,bruise,2025-02-04,2025-03-04,2,,
487835,2025-10-06T15:36:00.731741,22/23,Hamstring muscle injury,2022-05-08,2022-05-10,62,8.0,"41101, 21100"
487835,2025-10-06T15:36:00.731741,21/22,unknown injury,2022-05-05,2022-05-31,27,4.0,41101
487835,2025-10-06T15:36:00.731741,21/22,Broken cheekbone,2021-01-11,2021-11-12,41,8.0,"41101, 21100"
487835,2025-10-06T15:36:00.731741,21/22,Hand injury,2021-08-20,2021-08-27,8,1.0,41101
487835,2025-10-06T15:36:00.731741,20/21,Muscle injury,2021-11-06,2021-06-22,12,2.0,11008
487835,2025-10-06T15:36:00.731741,20/21,Hamstring strain,2021-05-02,2021-02-25,21,4.0,11008
487835,2025-10-06T15:36:00.731741,17/18,unknown injury,2017-10-25,2017-11-23,30,11.0,"49567, 21100"
447052,2025-10-06T15:36:31.127617,23/24,Outer ligament problems,2023-08-18,2023-08-10,52,8.0,621
447052,2025-10-06T15:36:31.127617,22/23,Ankle injury,2022-09-10,2022-10-22,14,3.0,1533
447052,2025-10-06T15:36:31.127617,21/22,Fitness,2021-04-12,2022-01-01,29,4.0,621
447052,2025-10-06T15:36:31.127617,20/21,Ankle injury,2021-08-03,2021-03-12,271,30.0,621
447052,2025-10-06T15:36:31.127617,20/21,Ankle injury,2020-01-12,2021-02-19,81,18.0,621
447052,2025-10-06T15:36:31.127617,20/21,Muscle injury,2020-06-21,2020-09-11,142,15.0,"897, 621"
447052,2025-10-06T15:36:31.127617,19/20,Appendicitis,2019-08-24,2019-09-24,32,6.0,897
127048,2025-10-06T15:37:01.535067,23/24,unknown injury,2024-04-28,2024-09-15,141,16.0,"150, 3854"
127048,2025-10-06T15:37:01.535067,21/22,Knee problems,2022-04-22,2022-04-27,6,1.0,244
127048,2025-10-06T15:37:01.535067,20/21,Corona virus,2021-05-03,2021-03-21,17,,
127048,2025-10-06T15:37:01.535067,16/17,Hamstring injury,2016-08-13,2016-09-29,48,11.0,"1050, 3854"
127048,2025-10-06T15:37:01.535067,15/16,ankle sprain,2015-09-20,2015-10-15,26,7.0,"1050, 3854"
127048,2025-10-06T15:37:01.535067,14/15,unknown injury,2015-07-03,2015-01-04,26,5.0,"20, 3854"
127048,2025-10-06T15:37:01.535067,14/15,unknown injury,2014-12-21,2014-12-29,9,3.0,20
82361,2025-10-06T15:37:31.887982,23/24,Torn muscle fiber,2023-11-12,2024-01-16,37,1.0,4
82361,2025-10-06T15:37:31.887982,23/24,Bruised knee,2023-08-20,2023-08-24,5,1.0,4
82361,2025-10-06T15:37:31.887982,22/23,Shoulder injury,2022-11-14,2023-06-27,226,19.0,4
82361,2025-10-06T15:37:31.887982,19/20,Broken kneecap,2019-07-10,2020-05-01,91,10.0,4
82361,2025-10-06T15:37:31.887982,18/19,Meniscus injury,2018-11-25,2019-01-01,38,5.0,4
82361,2025-10-06T15:37:31.887982,17/18,flu,2017-11-22,2017-11-23,2,,
82361,2025-10-06T15:37:31.887982,16/17,Knee bruise,2017-04-24,2017-04-05,11,1.0,41
82361,2025-10-06T15:37:31.887982,16/17,Stomach flu,2017-02-23,2017-01-03,7,2.0,41
82361,2025-10-06T15:37:31.887982,15/16,Metacarpal fracture,2016-09-05,2016-07-14,67,1.0,"105, 41"
368891,2025-10-06T15:38:02.197048,24/25,Fitness,2025-03-27,2025-03-28,2,,
368891,2025-10-06T15:38:02.197048,24/25,Muscle injury,2025-09-03,2025-03-27,19,5.0,"24, 3382"
368891,2025-10-06T15:38:02.197048,24/25,Torn lateral ankle ligament,2024-01-12,2024-06-12,6,2.0,24
368891,2025-10-06T15:38:02.197048,24/25,unknown injury,2024-11-15,2024-11-20,6,1.0,3382
368891,2025-10-06T15:38:02.197048,23/24,Ankle injury,2024-12-05,2024-06-15,35,4.0,"273, 3382"
368891,2025-10-06T15:38:02.197048,21/22,unknown injury,2021-12-21,2021-12-25,5,1.0,1025
719673,2025-10-06T15:39:03.058162,24/25,Hamstring injury,2025-02-02,2025-05-31,119,19.0,"641, 3380"
719673,2025-10-06T15:39:03.058162,23/24,Meniscus tear,2023-12-17,2024-06-30,197,41.0,"31, 3380"
719673,2025-10-06T15:39:03.058162,22/23,concussion,2023-03-14,2023-02-04,20,4.0,"6922, 3380"
838236,2025-10-06T15:39:33.479008,23/24,Hamstring injury,2023-10-29,2023-08-11,11,3.0,413
838236,2025-10-06T15:39:33.479008,22/23,flu,2023-04-03,2023-03-17,14,2.0,413
796303,2025-10-06T15:40:03.994901,24/25,fatigue fracture,2025-01-26,2025-05-15,110,20.0,3054
535551,2025-10-06T15:40:34.370997,24/25,Knee injury,2024-07-16,2025-04-17,276,33.0,82
535551,2025-10-06T15:40:34.370997,23/24,Knee injury,2023-07-15,2024-03-18,248,31.0,1245
535551,2025-10-06T15:40:34.370997,22/23,Foot injury,2022-01-11,2022-11-30,30,3.0,499
535551,2025-10-06T15:40:34.370997,20/21,Cruciate ligament tear,2021-04-27,2021-12-12,230,31.0,"82, 9324"
429874,2025-10-06T15:41:05.078198,24/25,Knee injury,2025-03-29,2025-04-14,17,4.0,24
429874,2025-10-06T15:41:05.078198,24/25,cold,2024-10-18,2024-10-23,6,1.0,24
429874,2025-10-06T15:41:05.078198,22/23,Broken collarbone,2023-06-17,2023-08-19,64,4.0,"24, 3817"
429874,2025-10-06T15:41:05.078198,22/23,Hip problems,2023-10-03,2023-03-14,5,1.0,24
429874,2025-10-06T15:41:05.078198,22/23,muscular problems,2022-11-30,2022-12-31,32,,
429874,2025-10-06T15:41:05.078198,22/23,Hamstring injury,2022-10-10,2022-10-31,22,6.0,24
227961,2025-10-06T15:41:35.401903,21/22,Shoulder injury,2022-03-29,2022-05-29,62,9.0,3709
398184,2025-10-06T15:42:05.783964,24/25,Appendicitis,2025-05-14,2025-05-31,18,3.0,131
398184,2025-10-06T15:42:05.783964,24/25,Hamstring injury,2024-07-10,2024-11-29,54,12.0,"131, 3375"
398184,2025-10-06T15:42:05.783964,23/24,Hamstring injury,2024-01-02,2024-03-29,58,11.0,"131, 3375"
398184,2025-10-06T15:42:05.783964,21/22,Corona virus,2022-03-01,2022-10-01,8,2.0,131
398184,2025-10-06T15:42:05.783964,21/22,Metatarsal fracture,2021-10-14,2022-10-01,89,22.0,"281, 131"
398184,2025-10-06T15:42:05.783964,20/21,Virus,2021-01-01,2021-12-01,12,3.0,281
398184,2025-10-06T15:42:05.783964,18/19,cold,2018-09-30,2018-05-10,6,1.0,1049
308431,2025-10-06T15:42:36.083600,22/23,Wrist injury,2023-09-03,2023-03-16,8,1.0,2861
565093,2025-10-06T15:43:06.359909,22/23,Virus,2023-03-23,2023-03-25,3,2.0,3379
895326,2025-10-06T15:43:36.647078,23/24,Cruciate ligament tear,2023-10-08,2024-10-03,214,6.0,9567
483573,2025-10-06T15:46:06.987075,22/23,unknown injury,2022-10-08,2022-02-11,85,11.0,3329
483573,2025-10-06T15:46:06.987075,18/19,Hamstring injury,2019-01-02,2019-12-03,40,6.0,1108
334222,2025-10-06T15:46:37.495402,23/24,Calf injury,2024-01-02,2024-02-25,25,3.0,16795
334222,2025-10-06T15:46:37.495402,20/21,Knock,2020-10-14,2020-10-28,15,2.0,1531
334222,2025-10-06T15:46:37.495402,19/20,Inguinal hernia,2020-01-14,2020-03-14,61,15.0,1032
334222,2025-10-06T15:46:37.495402,18/19,Injury to abdominal muscles,2018-09-08,2018-04-10,57,12.0,"2441, 3437"
334222,2025-10-06T15:46:37.495402,17/18,Knee injury,2017-01-08,2017-08-29,29,3.0,416
340427,2025-10-06T15:47:07.775882,24/25,Hamstring injury,2024-07-12,2025-01-08,238,29.0,1039
340427,2025-10-06T15:47:07.775882,23/24,unknown injury,2023-02-11,2023-11-22,21,5.0,"2790, 3588"
340427,2025-10-06T15:47:07.775882,22/23,unknown injury,2023-06-04,2023-04-20,15,2.0,2790
340427,2025-10-06T15:47:07.775882,22/23,unknown injury,2023-01-03,2023-08-03,8,2.0,2790
340427,2025-10-06T15:47:07.775882,22/23,unknown injury,2022-04-11,2022-08-11,5,1.0,2790
340427,2025-10-06T15:47:07.775882,22/23,unknown injury,2022-09-29,2022-10-14,16,2.0,2790
340427,2025-10-06T15:47:07.775882,20/21,Foot bruise,2021-06-04,2021-05-15,40,7.0,2239
668547,2025-10-06T15:47:38.075590,24/25,unknown injury,2024-10-30,2025-01-13,76,10.0,1047
668547,2025-10-06T15:47:38.075590,22/23,Pneumothorax,2022-08-23,2022-10-14,53,19.0,"1029, 11940"
701757,2025-10-06T15:48:38.743954,24/25,Fitness,2025-10-02,2025-02-24,15,2.0,86
701757,2025-10-06T15:48:38.743954,24/25,Syndesmotic ligament tear,2024-11-27,2025-10-02,76,11.0,86
701757,2025-10-06T15:48:38.743954,24/25,Dental surgery,2024-09-10,2024-10-17,9,2.0,5709
906315,2025-10-06T15:49:09.035868,24/25,unknown injury,2025-12-03,2025-05-27,77,10.0,252
906315,2025-10-06T15:49:09.035868,24/25,Calf muscle tear,2024-10-25,2025-03-02,102,18.0,"41107, 252"
906315,2025-10-06T15:49:09.035868,23/24,Shoulder injury,2023-09-19,2023-10-23,35,7.0,"10958, 3581"
128904,2025-10-06T15:49:39.523734,19/20,Groin injury,2020-12-01,2020-06-15,156,8.0,1132
128904,2025-10-06T15:49:39.523734,19/20,Groin injury,2019-08-12,2020-10-01,34,6.0,1132
128904,2025-10-06T15:49:39.523734,18/19,Inguinal hernia,2018-08-28,2018-11-25,90,11.0,1132
640556,2025-10-06T15:50:10.001589,25/26,Shoulder injury,2025-09-14,,23,3.0,3
640556,2025-10-06T15:50:10.001589,24/25,unknown injury,2025-04-26,2025-02-05,7,1.0,641
640556,2025-10-06T15:50:10.001589,24/25,Knee injury,2025-02-24,2025-03-28,33,7.0,"641, 11944"
640556,2025-10-06T15:50:10.001589,24/25,Knee injury,2024-01-11,2024-11-12,41,10.0,"641, 11944"
640556,2025-10-06T15:50:10.001589,24/25,unknown injury,2024-08-23,2024-09-22,31,7.0,"641, 11944"
640556,2025-10-06T15:50:10.001589,23/24,Torn knee ligaments,2024-03-13,2024-03-04,22,5.0,"641, 11944"
640556,2025-10-06T15:50:10.001589,23/24,Back injury,2023-12-20,2023-12-22,3,,
640556,2025-10-06T15:50:10.001589,23/24,unknown injury,2023-01-10,2023-10-15,15,3.0,"641, 11944"
640556,2025-10-06T15:50:10.001589,21/22,unknown injury,2022-02-22,2022-03-16,23,3.0,1269
640556,2025-10-06T15:50:10.001589,20/21,unknown injury,2021-11-05,2021-05-31,21,3.0,"1269, 11944"
270171,2025-10-06T15:50:40.292100,24/25,Heel injury,2025-04-29,2025-09-13,138,10.0,1148
270171,2025-10-06T15:50:40.292100,22/23,Knee injury,2023-03-15,2023-06-04,23,4.0,1148
270171,2025-10-06T15:50:40.292100,18/19,Adductor injury,2019-03-25,2019-05-31,68,10.0,"80, 3817"
270171,2025-10-06T15:50:40.292100,17/18,Knee problems,2017-08-28,2017-11-13,78,19.0,"80, 3817"
