id_season,player_id,season_name,country,championship_name,player_code,player_href,attacking_overall__apps,attacking_overall__mins,attacking_overall__goals,attacking_overall__xg,attacking_overall__goals_vs_xg,attacking_overall__shots,attacking_overall__sot,attacking_overall__conv_pct,attacking_overall__xg_per_shot,attacking_non_penalty__goals,attacking_non_penalty__xg,attacking_non_penalty__goals_vs_xg,attacking_non_penalty__shots,attacking_non_penalty__sot,attacking_non_penalty__conv_pct,attacking_non_penalty__xg_per_shot,passing_overall__open_play_passes__total,passing_overall__open_play_passes__successful,passing_overall__open_play_passes__pct,passing_overall__in_final_third__total,passing_overall__in_final_third__successful,passing_overall__in_final_third__pct,passing_overall__crosses__total,passing_overall__crosses__successful,passing_overall__crosses__pct,passing_overall__through_balls,passing_chance creation__assists__total,passing_chance creation__assists__op,passing_chance creation__chances_created__total,passing_chance creation__chances_created__op,passing_chance creation__xa__total,passing_chance creation__xa__op,defending_overall__tackles,defending_overall__interceptions,defending_overall__pos_won,defending_overall__blocks,defending_overall__clearances,defending_overall__ground_duels__total,defending_overall__ground_duels__won,defending_overall__ground_duels__pct,defending_overall__aerial_duels__total,defending_overall__aerial_duels__won,defending_overall__aerial_duels__pct,defending_discipline__yellows,defending_discipline__reds,defending_discipline__fouls,defending_discipline__pens,carrying__all_carries__total,carrying__all_carries__distance_(m),carrying__all_carries__avg_(m),carrying__progressive__total,carrying__progressive__distance_(m),carrying__progressive__avg_(m),carrying__ended_with__shot,carrying__ended_with__goal,carrying__ended_with__chance,carrying__ended_with__assist,dob,age,current_club,affiliation,position,goalkeeping__apps,goalkeeping__mins,goalkeeping__goals_conceded,goalkeeping__saves_made,goalkeeping__save_pct,goalkeeping__xgot_conceded,goalkeeping__goals_prevented,goalkeeping__gp_rate
6,120202,2025/26,Europe,Champions League,wout weghorst,/football/player/sc-120202/wout-weghorst,5.0,298.0,0.3,0.34,-0.04,1.21,0.6,25.0,0.28,0.0,0.1,-0.1,0.91,0.3,0.0,0.11,19.03,12.68,66.7,6.95,4.23,60.9,0.3,0.3,100.0,0.0,0.0,0.0,0.6,0.6,0.09,0.09,0.6,0.3,0.6,0.0,1.81,9.36,3.93,41.9,6.64,2.42,36.4,0.6,0.0,3.32,0.3,3.02,42.1,13.9,0.91,-11.0,-3.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
6,604066,2025/26,Europe,Champions League,kevin rodriguez,/football/player/sc-604066/kevin-rodriguez,6.0,378.0,0.0,0.31,-0.31,2.38,1.19,0.0,0.13,0.0,0.31,-0.31,2.38,1.19,0.0,0.13,19.05,11.67,61.3,6.43,2.86,44.4,0.24,0.24,100.0,0.0,0.24,0.0,0.71,0.48,0.02,0.02,1.19,0.0,4.05,0.0,1.19,13.1,4.52,34.5,8.33,3.81,45.7,0.0,0.0,1.9,0.0,10.0,152.1,15.2,6.43,104.3,3.9,0.48,0.0,0.0,0.0,,,,,,,,,,,,,
6,463212,2025/26,Europe,Champions League,carlos forbs,/football/player/sc-463212/carlos-forbs,9.0,674.0,0.27,0.3,-0.03,1.74,0.8,15.38,0.17,0.27,0.3,-0.03,1.74,0.8,15.38,0.17,25.91,20.96,80.9,16.16,13.09,81.0,1.6,0.13,8.3,0.27,0.4,0.27,2.67,2.27,0.33,0.33,1.2,0.53,4.67,0.13,1.2,6.81,3.47,51.0,0.53,0.27,50.0,0.0,0.0,0.93,0.0,14.15,186.7,13.2,8.68,116.0,1.8,1.07,0.27,1.47,0.13,,,,,,,,,,,,,
6,492944,2025/26,Europe,Champions League,youssoufa moukoko,/football/player/sc-492944/youssoufa-moukoko,6.0,312.0,0.0,0.29,-0.29,2.31,1.44,0.0,0.13,0.0,0.29,-0.29,2.31,1.44,0.0,0.13,18.17,15.87,87.3,6.63,5.77,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,1.73,0.29,3.75,0.0,0.29,8.37,4.33,51.7,1.44,0.0,0.0,0.0,0.0,1.15,0.0,5.48,68.8,12.6,2.6,32.3,3.6,0.87,0.0,0.0,0.0,,,,,,,,,,,,,
6,45034,2025/26,Europe,Champions League,ivan perisic,/football/player/sc-45034/ivan-perisic,8.0,538.0,0.17,0.25,-0.09,1.84,0.5,9.09,0.14,0.0,0.12,-0.12,1.67,0.33,0.0,0.07,31.95,24.59,77.0,13.38,9.87,73.8,6.19,0.33,5.4,0.0,0.17,0.0,0.84,0.67,0.14,0.14,0.17,1.51,2.68,0.33,2.34,3.35,0.84,25.0,3.68,1.84,50.0,0.33,0.0,0.84,0.0,10.54,154.8,14.7,6.52,114.5,2.9,0.17,0.0,0.33,0.0,,,,,,,,,,,,,
6,621999,2025/26,Europe,Champions League,mamadou diakhon,/football/player/sc-621999/mamadou-diakhon,9.0,341.0,0.53,0.2,0.33,2.38,0.79,22.22,0.08,0.53,0.2,0.33,2.38,0.79,22.22,0.08,26.39,22.17,84.0,12.93,10.82,83.7,1.32,0.26,20.0,0.0,0.26,0.26,1.58,1.06,0.22,0.21,0.53,0.26,3.43,0.26,0.53,10.82,5.01,46.3,1.06,0.0,0.0,0.26,0.0,0.79,0.0,20.06,265.9,13.3,11.61,164.7,3.7,1.32,0.26,1.06,0.26,,,,,,,,,,,,,
6,59859,2025/26,Europe,Champions League,ilkay gundogan,/football/player/sc-59859/ilkay-gundogan,8.0,415.0,0.0,0.19,-0.19,0.65,0.43,0.0,0.3,0.0,0.19,-0.19,0.65,0.43,0.0,0.3,54.87,48.58,88.5,14.75,12.58,85.3,0.65,0.22,33.3,0.22,0.0,0.0,1.95,1.3,0.12,0.1,0.65,1.08,3.69,0.43,0.87,6.07,2.17,35.7,1.3,0.65,50.0,0.22,0.0,0.87,0.0,12.58,126.9,10.1,5.42,51.0,2.0,0.0,0.0,0.43,0.0,,,,,,,,,,,,,
6,501534,2025/26,Europe,Champions League,richard rios,/football/player/sc-501534/richard-rios,8.0,622.0,0.14,0.18,-0.03,1.74,0.72,8.33,0.1,0.14,0.18,-0.03,1.74,0.72,8.33,0.1,38.05,32.7,85.9,9.12,7.96,87.3,0.43,0.0,0.0,0.0,0.14,0.14,1.3,1.16,0.06,0.06,1.45,1.59,5.79,0.0,1.45,10.13,4.77,47.1,2.46,1.16,47.1,0.29,0.0,1.01,0.0,14.18,152.7,10.8,6.22,62.0,1.4,0.58,0.0,0.87,0.14,,,,,,,,,,,,,
6,514355,2025/26,Europe,Champions League,baris alper yilmaz,/football/player/sc-514355/baris-alper-yilmaz,12.0,989.0,0.09,0.18,-0.09,1.27,0.46,7.14,0.14,0.09,0.18,-0.09,1.27,0.46,7.14,0.14,22.57,17.47,77.4,9.37,7.01,74.8,2.64,0.82,31.0,0.0,0.09,0.09,1.18,1.0,0.1,0.09,1.46,0.18,3.19,0.0,0.64,9.92,4.91,49.5,3.64,1.27,35.0,0.09,0.0,1.46,0.0,10.37,143.5,13.8,6.55,84.3,1.2,0.36,0.0,0.55,0.09,,,,,,,,,,,,,
6,472175,2025/26,Europe,Champions League,mojmir chytil,/football/player/sc-472175/mojmir-chytil,6.0,143.0,0.0,0.18,-0.18,2.52,1.26,0.0,0.07,0.0,0.18,-0.18,2.52,1.26,0.0,0.07,20.14,12.59,62.5,10.7,6.92,64.7,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.63,0.63,1.26,0.63,0.0,8.81,2.52,28.6,11.96,3.78,31.6,0.63,0.0,1.89,0.0,3.78,34.7,9.2,1.89,15.7,5.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
6,185389,2025/26,Europe,Champions League,tomas chory,/football/player/sc-185389/tomas-chory,7.0,451.0,0.0,0.17,-0.17,2.79,0.8,0.0,0.06,0.0,0.17,-0.17,2.79,0.8,0.0,0.06,21.55,12.77,59.3,10.38,5.79,55.8,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.02,0.02,0.2,0.0,2.39,0.0,1.2,5.39,1.2,22.2,8.98,4.79,53.3,0.2,0.0,2.39,0.0,3.79,31.3,8.2,1.2,10.3,1.7,0.4,0.0,0.2,0.0,,,,,,,,,,,,,
6,438346,2025/26,Europe,Champions League,yunus akgun,/football/player/sc-438346/yunus-akgun,9.0,450.0,0.4,0.16,0.24,2.0,1.0,20.0,0.08,0.4,0.16,0.24,2.0,1.0,20.0,0.08,28.0,23.2,82.9,14.0,11.4,81.4,1.0,0.0,0.0,0.4,0.0,0.0,1.4,1.4,0.18,0.18,0.8,0.6,3.2,0.2,0.0,7.2,3.4,47.2,0.6,0.0,0.0,0.0,0.0,0.4,0.0,10.2,108.6,10.6,6.0,64.3,2.1,0.4,0.0,0.8,0.0,,,,,,,,,,,,,
6,454812,2025/26,Europe,Champions League,morten hjulmand,/football/player/sc-454812/morten-hjulmand,9.0,820.0,0.0,0.14,-0.14,0.88,0.44,0.0,0.16,0.0,0.06,-0.06,0.77,0.33,0.0,0.07,65.63,60.8,92.6,13.39,10.65,79.5,0.33,0.0,0.0,0.0,0.0,0.0,1.32,1.32,0.05,0.05,1.98,1.87,6.04,0.55,1.21,7.35,4.72,64.2,1.98,1.32,66.7,0.55,0.0,1.32,0.0,12.4,109.9,8.9,4.94,38.5,0.9,0.11,0.0,0.11,0.0,,,,,,,,,,,,,
6,486374,2025/26,Europe,Champions League,lukas provod,/football/player/sc-486374/lukas-provod,8.0,701.0,0.0,0.14,-0.14,2.57,0.64,0.0,0.06,0.0,0.14,-0.14,2.57,0.64,0.0,0.06,42.5,32.48,76.4,22.98,17.59,76.5,3.59,1.16,32.1,0.0,0.26,0.26,1.67,1.41,0.25,0.25,1.54,0.39,4.88,0.26,1.16,8.22,3.47,42.2,2.95,1.28,43.5,0.13,0.0,1.28,0.13,11.68,156.4,13.4,6.68,84.3,1.6,0.51,0.0,0.77,0.13,,,,,,,,,,,,,
6,173904,2025/26,Europe,Champions League,davinson sanchez,/football/player/sc-173904/davinson-sanchez,11.0,1020.0,0.09,0.13,-0.04,0.71,0.35,12.5,0.19,0.09,0.13,-0.04,0.71,0.35,12.5,0.19,57.71,51.35,89.0,6.62,5.03,76.0,0.18,0.09,50.0,0.09,0.0,0.0,0.26,0.26,0.04,0.04,1.76,1.24,3.62,0.88,6.18,5.29,2.47,46.7,4.06,2.74,67.4,0.26,0.0,1.24,0.09,10.68,97.1,9.1,5.12,41.3,0.7,0.09,0.0,0.09,0.0,,,,,,,,,,,,,
6,235905,2025/26,Europe,Champions League,dennis man,/football/player/sc-235905/dennis-man,8.0,458.0,0.39,0.12,0.27,1.38,0.59,28.57,0.09,0.39,0.12,0.27,1.38,0.59,28.57,0.09,35.96,30.26,84.2,16.31,13.56,83.1,1.38,0.0,0.0,0.2,0.0,0.0,1.18,1.18,0.08,0.08,0.98,0.79,5.31,0.2,0.59,9.63,4.13,42.9,2.36,0.59,25.0,0.0,0.0,0.59,0.0,11.99,157.4,13.1,6.29,88.4,2.8,0.79,0.2,0.59,0.0,,,,,,,,,,,,,
6,151086,2025/26,Europe,Champions League,mario lemina,/football/player/sc-151086/mario-lemina,9.0,730.0,0.12,0.08,0.04,0.74,0.37,16.67,0.11,0.12,0.08,0.04,0.74,0.37,16.67,0.11,46.23,40.07,86.7,6.66,4.19,63.0,0.37,0.0,0.0,0.12,0.12,0.12,0.37,0.25,0.03,0.03,2.71,1.6,4.56,0.49,2.84,7.15,4.19,58.6,2.47,1.6,65.0,0.37,0.0,1.11,0.0,8.01,75.4,9.4,2.1,6.1,0.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
6,200600,2025/26,Europe,Champions League,daniel podence,/football/player/sc-200600/daniel-podence,8.0,542.0,0.0,0.08,-0.08,1.49,0.66,0.0,0.05,0.0,0.08,-0.08,1.49,0.66,0.0,0.05,30.39,18.93,62.3,17.77,9.63,54.2,3.65,0.66,18.2,0.5,0.0,0.0,1.83,1.83,0.24,0.24,1.49,1.0,3.49,0.0,0.0,9.96,5.15,51.7,0.83,0.17,20.0,0.17,0.0,1.16,0.0,11.29,113.5,10.1,5.48,50.9,1.5,0.66,0.0,0.5,0.0,,,,,,,,,,,,,
6,532091,2025/26,Europe,Champions League,zeno debast,/football/player/sc-532091/zeno-debast,4.0,179.0,0.0,0.08,-0.08,2.01,0.5,0.0,0.04,0.0,0.08,-0.08,2.01,0.5,0.0,0.04,69.39,63.85,92.0,17.09,12.57,73.5,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.21,0.21,0.5,0.0,5.03,1.01,2.51,4.53,1.51,33.3,1.01,1.01,100.0,0.5,0.0,2.01,0.0,21.12,230.4,10.9,14.58,146.0,5.0,1.01,0.0,0.0,0.0,,,,,,,,,,,,,
6,491287,2025/26,Europe,Champions League,enzo barrenechea,/football/player/sc-491287/enzo-barrenechea,9.0,573.0,0.16,0.08,0.08,0.94,0.31,16.67,0.08,0.16,0.08,0.08,0.94,0.31,16.67,0.08,62.83,57.64,91.8,13.04,10.84,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,0.04,0.04,2.67,1.73,7.38,0.0,1.88,7.38,5.18,70.2,2.2,1.41,64.3,0.16,0.0,0.63,0.0,10.84,97.5,9.0,2.2,14.2,1.0,0.0,0.0,0.31,0.0,"May 22, 2001",24.0,Benfica,Argentina,Midfielder,,,,,,,,
6,465911,2025/26,Europe,Champions League,heorhii sudakov,/football/player/sc-465911/heorhii-sudakov,9.0,651.0,0.0,0.07,-0.07,1.66,0.41,0.0,0.04,0.0,0.07,-0.07,1.66,0.41,0.0,0.04,33.73,29.03,86.1,14.1,11.2,79.4,1.24,0.14,11.1,0.55,0.14,0.0,2.49,1.52,0.24,0.16,1.11,0.41,5.12,0.0,0.41,7.47,3.87,51.9,1.11,0.14,12.5,0.14,0.0,0.69,0.0,12.72,160.2,12.6,5.25,54.4,1.4,0.41,0.0,0.69,0.0,,,,,,,,,,,,,
6,546410,2025/26,Europe,Champions League,paul wanner,/football/player/sc-546410/paul-wanner,6.0,280.0,0.0,0.07,-0.07,1.29,0.32,0.0,0.05,0.0,0.07,-0.07,1.29,0.32,0.0,0.05,32.46,25.07,77.2,12.21,9.0,73.7,0.32,0.0,0.0,0.64,0.0,0.0,0.64,0.64,0.2,0.2,3.21,0.32,3.86,0.0,0.32,9.64,5.79,60.0,0.96,0.32,33.3,0.0,0.0,1.61,0.0,5.46,57.6,10.5,3.21,28.9,2.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
6,446467,2025/26,Europe,Champions League,david doudera,/football/player/sc-446467/david-doudera,7.0,439.0,0.0,0.06,-0.06,0.82,0.41,0.0,0.08,0.0,0.06,-0.06,0.82,0.41,0.0,0.08,33.21,25.63,77.2,13.74,10.25,74.6,6.77,3.08,45.5,0.0,0.21,0.21,2.46,2.26,0.25,0.25,1.85,0.41,6.15,0.62,1.85,6.77,3.9,57.6,1.23,0.62,50.0,0.21,0.0,1.23,0.0,8.0,86.0,10.8,4.72,47.7,2.1,0.21,0.0,0.41,0.0,,,,,,,,,,,,,
6,182156,2025/26,Europe,Champions League,leroy sane,/football/player/sc-182156/leroy-sane,10.0,723.0,0.0,0.06,-0.06,1.24,0.5,0.0,0.05,0.0,0.06,-0.06,1.24,0.5,0.0,0.05,40.21,33.86,84.2,15.81,12.32,78.0,1.0,0.5,50.0,0.25,0.25,0.25,1.74,1.37,0.2,0.2,2.12,0.37,6.22,0.12,0.12,12.7,5.98,47.1,1.49,0.37,25.0,0.0,0.0,0.87,0.0,16.8,242.1,14.4,7.22,90.0,1.6,0.37,0.0,1.0,0.12,,,,,,,,,,,,,
6,57410,2025/26,Europe,Champions League,nicolas otamendi,/football/player/sc-57410/nicolas-otamendi,10.0,900.0,0.0,0.05,-0.05,0.8,0.3,0.0,0.07,0.0,0.05,-0.05,0.8,0.3,0.0,0.07,54.8,48.8,89.0,8.4,5.9,70.2,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.05,0.05,1.4,1.3,2.6,0.8,5.2,3.4,2.1,61.8,4.1,2.7,65.9,0.3,0.0,1.2,0.0,15.9,165.3,10.4,7.1,75.3,1.1,0.0,0.0,0.1,0.0,"October 05, 2001",24.0,Reading,Germany,Midfielder,,,,,,,,
6,463726,2025/26,Europe,Champions League,amar dedic,/football/player/sc-463726/amar-dedic,10.0,804.0,0.0,0.05,-0.05,0.67,0.34,0.0,0.07,0.0,0.05,-0.05,0.67,0.34,0.0,0.07,39.51,32.35,81.9,11.87,8.84,74.5,0.9,0.0,0.0,0.0,0.0,0.0,0.45,0.34,0.06,0.05,2.69,1.01,4.7,0.0,2.46,9.07,5.04,55.6,0.78,0.34,42.9,0.11,0.0,1.34,0.0,14.33,186.2,13.0,8.4,105.4,1.4,0.56,0.0,0.11,0.0,"August 18, 2002",23.0,Benfica,Bosnia and Herzegovina,Defender,,,,,,,,
6,166050,2025/26,Europe,Champions League,abdulkerim bardakci,/football/player/sc-166050/abdulkerim-bardakci,11.0,968.0,0.0,0.04,-0.04,0.56,0.19,0.0,0.08,0.0,0.04,-0.04,0.56,0.19,0.0,0.08,49.74,41.84,84.1,6.51,3.25,50.0,0.37,0.19,50.0,0.0,0.0,0.0,0.28,0.28,0.03,0.03,1.86,1.02,3.16,0.65,5.58,4.0,2.23,55.8,3.16,2.14,67.6,0.19,0.0,0.74,0.0,8.55,86.0,10.1,4.74,47.0,0.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
6,499441,2025/26,Europe,Champions League,yoram zague,/football/player/sc-499441/yoram-zague,5.0,178.0,0.0,0.04,-0.04,0.51,0.0,0.0,0.08,0.0,0.04,-0.04,0.51,0.0,0.0,0.08,30.84,24.27,78.7,10.62,7.58,71.4,3.03,0.51,16.7,0.0,0.51,0.51,0.51,0.0,0.06,0.06,2.53,2.02,2.02,0.0,3.03,8.09,4.55,56.3,1.01,0.0,0.0,0.51,0.0,1.01,0.0,9.61,127.0,13.2,6.07,97.3,8.1,0.51,0.0,0.0,0.0,,,,,,,,,,,,,
6,197109,2025/26,Europe,Champions League,roland sallai,/football/player/sc-197109/roland-sallai,12.0,900.0,0.0,0.04,-0.04,0.6,0.2,0.0,0.06,0.0,0.04,-0.04,0.6,0.2,0.0,0.06,41.7,35.6,85.4,7.7,5.8,75.3,3.1,0.8,25.8,0.0,0.0,0.0,0.8,0.8,0.07,0.07,2.0,1.4,3.6,0.3,2.3,9.5,5.1,53.7,1.7,1.1,64.7,0.2,0.0,1.6,0.0,7.0,77.1,11.0,4.1,47.0,1.1,0.0,0.0,0.3,0.0,,,,,,,,,,,,,
6,473215,2025/26,Europe,Champions League,maximiliano araujo,/football/player/sc-473215/maximiliano-araujo,10.0,890.0,0.2,0.04,0.17,0.61,0.3,33.33,0.06,0.2,0.04,0.17,0.61,0.3,33.33,0.06,31.96,27.1,84.8,8.8,6.78,77.0,2.22,0.4,18.2,0.0,0.1,0.0,1.42,1.21,0.09,0.08,3.84,1.31,5.06,0.0,2.22,12.44,6.37,51.2,1.21,0.71,58.3,0.3,0.0,2.02,0.0,9.91,106.5,10.7,5.97,57.8,1.0,0.0,0.0,0.51,0.0,,,,,,,,,,,,,
6,509111,2025/26,Europe,Champions League,goncalo inacio,/football/player/sc-509111/goncalo-inacio,10.0,866.0,0.1,0.04,0.07,0.31,0.1,33.33,0.12,0.1,0.04,0.07,0.31,0.1,33.33,0.12,75.55,65.79,87.1,11.54,8.0,69.4,0.0,0.0,0.0,0.1,0.0,0.0,0.21,0.21,0.03,0.03,0.94,0.83,3.33,0.83,3.22,2.18,1.14,52.4,3.43,2.08,60.6,0.0,0.0,0.42,0.0,19.23,192.3,10.0,10.7,121.3,1.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
6,209293,2025/26,Europe,Champions League,daiki hashioka,/football/player/sc-209293/daiki-hashioka,4.0,141.0,0.0,0.03,-0.03,0.64,0.0,0.0,0.05,0.0,0.03,-0.03,0.64,0.0,0.0,0.05,26.81,17.23,64.3,10.85,8.3,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.64,0.64,2.55,0.0,2.55,7.02,2.55,36.4,3.83,1.28,33.3,0.0,0.0,1.91,0.0,5.11,39.5,7.7,3.83,27.4,4.6,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
